TSI;Sensirion;RMSE;MAE
40.58;-40.1714;95.30234126499015;56.589555569345336
41.59;-40.5429;95.30234126499015;56.589555569345336
42.11;-41.5143;95.30234126499015;56.589555569345336
42.84;-42.0286;95.30234126499015;56.589555569345336
43.36;-42.7429;95.30234126499015;56.589555569345336
44.23;-43.3143;95.30234126499015;56.589555569345336
44.56;-44.2;95.30234126499015;56.589555569345336
45.41;-44.6571;95.30234126499015;56.589555569345336
46.04;-45.5714;95.30234126499015;56.589555569345336
46.35;-46.0857;95.30234126499015;56.589555569345336
46.9;-46.3429;95.30234126499015;56.589555569345336
47.68;-47.0286;95.30234126499015;56.589555569345336
48.18;-47.4286;95.30234126499015;56.589555569345336
48.71;-48.4857;95.30234126499015;56.589555569345336
49.23;-48.6857;95.30234126499015;56.589555569345336
49.92;-49.6286;95.30234126499015;56.589555569345336
50.53;-50.2571;95.30234126499015;56.589555569345336
51.3;-50.8571;95.30234126499015;56.589555569345336
52.01;-51.4857;95.30234126499015;56.589555569345336
52.6;-51.1429;95.30234126499015;56.589555569345336
53.22;-52.4;95.30234126499015;56.589555569345336
53.55;-52.9143;95.30234126499015;56.589555569345336
54.21;-53.4571;95.30234126499015;56.589555569345336
54.87;-54.6;95.30234126499015;56.589555569345336
55.43;-54.3143;95.30234126499015;56.589555569345336
55.93;-54.6571;95.30234126499015;56.589555569345336
56.45;-55.8571;95.30234126499015;56.589555569345336
56.76;-56.1143;95.30234126499015;56.589555569345336
57.56;-57.1714;95.30234126499015;56.589555569345336
57.91;-57.7429;95.30234126499015;56.589555569345336
58.65;-57.8;95.30234126499015;56.589555569345336
58.97;-58.0286;95.30234126499015;56.589555569345336
59.49;-58.7143;95.30234126499015;56.589555569345336
59.82;-58.8286;95.30234126499015;56.589555569345336
60.44;-59.7143;95.30234126499015;56.589555569345336
61.27;-60.9714;95.30234126499015;56.589555569345336
61.54;-60.7143;95.30234126499015;56.589555569345336
62.02;-61.3143;95.30234126499015;56.589555569345336
62.71;-61.8;95.30234126499015;56.589555569345336
63.25;-62.4286;95.30234126499015;56.589555569345336
63.73;-63.0571;95.30234126499015;56.589555569345336
63.94;-63.4286;95.30234126499015;56.589555569345336
64.47;-64.0571;95.30234126499015;56.589555569345336
65.22;-64.5429;95.30234126499015;56.589555569345336
65.63;-64.7714;95.30234126499015;56.589555569345336
66.06;-64.8571;95.30234126499015;56.589555569345336
66.68;-65.8571;95.30234126499015;56.589555569345336
67.4;-66.4571;95.30234126499015;56.589555569345336
67.8;-67.0571;95.30234126499015;56.589555569345336
68.16;-67.0857;95.30234126499015;56.589555569345336
68.63;-67.8571;95.30234126499015;56.589555569345336
69.09;-68.4286;95.30234126499015;56.589555569345336
69.55;-68.9429;95.30234126499015;56.589555569345336
69.99;-68.8;95.30234126499015;56.589555569345336
70.94;-69.4;95.30234126499015;56.589555569345336
71.4;-69.8571;95.30234126499015;56.589555569345336
71.55;-70.4;95.30234126499015;56.589555569345336
71.65;-71.4286;95.30234126499015;56.589555569345336
72.08;-71.8286;95.30234126499015;56.589555569345336
72.77;-72.0;95.30234126499015;56.589555569345336
73.64;-72.6571;95.30234126499015;56.589555569345336
74.3;-73.4;95.30234126499015;56.589555569345336
74.58;-74.0571;95.30234126499015;56.589555569345336
74.63;-73.9714;95.30234126499015;56.589555569345336
75.46;-74.5429;95.30234126499015;56.589555569345336
75.83;-74.8571;95.30234126499015;56.589555569345336
76.38;-74.5714;95.30234126499015;56.589555569345336
76.79;-76.3429;95.30234126499015;56.589555569345336
77.49;-76.8;95.30234126499015;56.589555569345336
77.86;-77.6286;95.30234126499015;56.589555569345336
78.57;-77.5143;95.30234126499015;56.589555569345336
78.96;-78.6857;95.30234126499015;56.589555569345336
79.71;-78.6857;95.30234126499015;56.589555569345336
80.1;-78.5143;95.30234126499015;56.589555569345336
80.09;-78.3714;95.30234126499015;56.589555569345336
79.97;-79.0;95.30234126499015;56.589555569345336
80.05;-79.2286;95.30234126499015;56.589555569345336
80.38;-80.6571;95.30234126499015;56.589555569345336
81.34;-81.2857;95.30234126499015;56.589555569345336
82.24;-81.6571;95.30234126499015;56.589555569345336
82.75;-81.8857;95.30234126499015;56.589555569345336
83.15;-82.1143;95.30234126499015;56.589555569345336
83.39;-82.4286;95.30234126499015;56.589555569345336
83.75;-82.6857;95.30234126499015;56.589555569345336
84.29;-82.7429;95.30234126499015;56.589555569345336
84.58;-82.7429;95.30234126499015;56.589555569345336
85.26;-83.2857;95.30234126499015;56.589555569345336
85.14;-83.7143;95.30234126499015;56.589555569345336
84.95;-84.5143;95.30234126499015;56.589555569345336
85.32;-83.8571;95.30234126499015;56.589555569345336
85.93;-83.5714;95.30234126499015;56.589555569345336
86.41;-84.6571;95.30234126499015;56.589555569345336
86.78;-84.9714;95.30234126499015;56.589555569345336
87.01;-85.0571;95.30234126499015;56.589555569345336
87.07;-85.6286;95.30234126499015;56.589555569345336
87.89;-86.1429;95.30234126499015;56.589555569345336
87.95;-88.1429;95.30234126499015;56.589555569345336
88.27;-87.5429;95.30234126499015;56.589555569345336
89.4;-88.0;95.30234126499015;56.589555569345336
89.62;-87.8;95.30234126499015;56.589555569345336
90.21;-88.9429;95.30234126499015;56.589555569345336
90.72;-89.5429;95.30234126499015;56.589555569345336
90.91;-89.4;95.30234126499015;56.589555569345336
90.98;-90.2857;95.30234126499015;56.589555569345336
91.7;-90.1143;95.30234126499015;56.589555569345336
91.98;-90.1714;95.30234126499015;56.589555569345336
92.11;-90.5714;95.30234126499015;56.589555569345336
92.44;-90.6857;95.30234126499015;56.589555569345336
92.98;-90.1714;95.30234126499015;56.589555569345336
92.54;-90.9429;95.30234126499015;56.589555569345336
93.66;-91.8286;95.30234126499015;56.589555569345336
94.71;-92.0571;95.30234126499015;56.589555569345336
95.16;-92.4;95.30234126499015;56.589555569345336
94.53;-92.3143;95.30234126499015;56.589555569345336
95.19;-92.2571;95.30234126499015;56.589555569345336
95.77;-92.9429;95.30234126499015;56.589555569345336
96.12;-93.8286;95.30234126499015;56.589555569345336
96.29;-94.4;95.30234126499015;56.589555569345336
96.94;-94.8;95.30234126499015;56.589555569345336
96.54;-95.4286;95.30234126499015;56.589555569345336
96.71;-95.8857;95.30234126499015;56.589555569345336
97.53;-96.7714;95.30234126499015;56.589555569345336
97.69;-96.2;95.30234126499015;56.589555569345336
98.39;-96.2286;95.30234126499015;56.589555569345336
98.92;-95.9429;95.30234126499015;56.589555569345336
99.24;-96.2;95.30234126499015;56.589555569345336
99.34;-96.9429;95.30234126499015;56.589555569345336
99.54;-96.1714;95.30234126499015;56.589555569345336
100.12;-97.5429;95.30234126499015;56.589555569345336
100.77;-97.7429;95.30234126499015;56.589555569345336
100.66;-98.8857;95.30234126499015;56.589555569345336
101.21;-98.5714;95.30234126499015;56.589555569345336
101.59;-99.3143;95.30234126499015;56.589555569345336
101.77;-99.1714;95.30234126499015;56.589555569345336
102.26;-100.3143;95.30234126499015;56.589555569345336
102.89;-100.4571;95.30234126499015;56.589555569345336
103.44;-101.6857;95.30234126499015;56.589555569345336
102.97;-101.0571;95.30234126499015;56.589555569345336
103.72;-102.3714;95.30234126499015;56.589555569345336
104.1;-101.1429;95.30234126499015;56.589555569345336
104.05;-102.2857;95.30234126499015;56.589555569345336
104.21;-102.2286;95.30234126499015;56.589555569345336
104.36;-102.3143;95.30234126499015;56.589555569345336
104.09;-102.0571;95.30234126499015;56.589555569345336
105.58;-102.5714;95.30234126499015;56.589555569345336
105.89;-103.1714;95.30234126499015;56.589555569345336
106.41;-103.1714;95.30234126499015;56.589555569345336
106.55;-103.8857;95.30234126499015;56.589555569345336
106.61;-103.4857;95.30234126499015;56.589555569345336
106.84;-105.1143;95.30234126499015;56.589555569345336
106.7;-104.4857;95.30234126499015;56.589555569345336
106.66;-103.9714;95.30234126499015;56.589555569345336
107.45;-103.9714;95.30234126499015;56.589555569345336
107.45;-105.9143;95.30234126499015;56.589555569345336
107.88;-104.9429;95.30234126499015;56.589555569345336
108.41;-105.9714;95.30234126499015;56.589555569345336
108.08;-105.9429;95.30234126499015;56.589555569345336
108.59;-106.9143;95.30234126499015;56.589555569345336
109.5;-106.4857;95.30234126499015;56.589555569345336
110.15;-106.3714;95.30234126499015;56.589555569345336
110.21;-106.5714;95.30234126499015;56.589555569345336
110.25;-106.8571;95.30234126499015;56.589555569345336
110.39;-107.5143;95.30234126499015;56.589555569345336
111.2;-108.8;95.30234126499015;56.589555569345336
111.51;-108.3714;95.30234126499015;56.589555569345336
111.14;-108.5714;95.30234126499015;56.589555569345336
111.35;-107.1714;95.30234126499015;56.589555569345336
